exposure,outcome,n,ivw_fe,ivw_fe_se,ivw_fe_p,ivw_re,ivw_re_se,ivw_re_p,Q,Q_df,Q_p,I2,tau2,intercept,intercept_se,intercept_p,slope,slope_se,slope_p,wm,wm_se,wm_p
FinnGen J10_COPD,Discovery HF (HERMES/ebi-a-GCST009541),10,0.17275722656847498,0.03737736851989936,3.801056095371074e-06,0.20502500465226448,0.08291678717843375,0.013411174875804392,17.956587209430158,9,0.03568055827133007,0.4987911736772831,0.024947234106305994,0.0012748834457329123,0.009737814383468437,0.8990702942254157,0.16168117251414632,0.101422211718923,0.14957070241122614,0.16926643782543482,0.041998250895364735,5.5700703305897135e-05
FinnGen COPD_LATER,Discovery HF (HERMES/ebi-a-GCST009541),10,0.17365354555117576,0.03914390395768311,9.152431478226015e-06,0.18040672717207648,0.08893700513842287,0.042511522122727304,19.638599373639234,9,0.020278534435636784,0.5417188451799346,0.029176931513322426,0.0030467880169994313,0.010181564637034799,0.7723793867476358,0.14588063975286972,0.11105587094654316,0.22540669425616477,0.18294955734810578,0.044318465000508525,3.6582680769107295e-05
FinnGen COPD_EARLY,Discovery HF (HERMES/ebi-a-GCST009541),10,0.15837746114389392,0.03397191957207138,3.131345206862063e-06,0.20556194336327502,0.07667440020756769,0.007340859133921876,17.58488500635619,9,0.04030671564686191,0.4881968237638812,0.020257651547162272,0.0018005904815645054,0.00913369466960251,0.8486366690677811,0.14450586242754673,0.08646282859897028,0.13320523587599725,0.15267838685536345,0.03811022471505599,6.169515558554767e-05
