direction,ligand,receptor,sender,receiver,ligand_normal,ligand_disease,receptor_normal,receptor_disease,score_normal,score_disease,delta,delta_log2
lung->heart,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",cardiac fibroblast,0.0001616331675068,0.0008944664573768,0.03015688239338,0.0139241918199415,4.874352423374826e-06,1.245472252901836e-05,7.580370105643535e-06,1.195610913404922
lung->heart,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",cardiac endothelial cell,0.0001616331675068,0.0008944664573768,0.0089729426864775,0.0082203229411433,1.4503251482731646e-06,7.352803139657835e-06,5.902477991384671e-06,1.769287235002558
lung->heart,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",cardiac macrophage,0.0001616331675068,0.0008944664573768,0.1065224155481143,0.1167711647936623,1.7217555435527048e-05,0.0001044478900967,8.723033466122426e-05,2.533128942688235
lung->heart,SERPINE1,PLAUR,natural killer cell,cardiac fibroblast,0.0034931281595902,0.002803022689364,0.03015688239338,0.0139241918199415,0.0001053418550937,3.9029825602352944e-05,-6.631202949141532e-05,-1.409562303553779
lung->heart,SERPINE1,PLAUR,natural killer cell,cardiac endothelial cell,0.0034931281595902,0.002803022689364,0.0089729426864775,0.0082203229411433,3.1343638772524446e-05,2.3041751717924234e-05,-8.301887054600212e-06,-0.4279399793887424
lung->heart,SERPINE1,PLAUR,natural killer cell,cardiac macrophage,0.0034931281595902,0.002803022689364,0.1065224155481143,0.1167711647936623,0.0003720964493786,0.00032731222438,-4.478422499859649e-05,-0.1844801623932572
lung->heart,SERPINE1,PLAUR,capillary endothelial cell,cardiac fibroblast,0.0014899819241305,0.0003510815574711,0.03015688239338,0.0139241918199415,4.4933209654268025e-05,4.888526950671722e-06,-4.0044682703596304e-05,-2.963558911904362
lung->heart,SERPINE1,PLAUR,capillary endothelial cell,cardiac endothelial cell,0.0014899819241305,0.0003510815574711,0.0089729426864775,0.0082203229411433,1.336952240911125e-05,2.886003781092182e-06,-1.0483518628019068e-05,-1.886652902850571
lung->heart,SERPINE1,PLAUR,capillary endothelial cell,cardiac macrophage,0.0014899819241305,0.0003510815574711,0.1065224155481143,0.1167711647936623,0.0001587164736814,4.099620240347581e-05,-0.0001177202712779,-1.9271823446123544
lung->heart,SERPINE1,PLAUR,macrophage,cardiac fibroblast,0.0007617881026149,0.0004501314077433,0.03015688239338,0.0139241918199415,2.2973154219236335e-05,6.267716065599126e-06,-1.6705438153637213e-05,-1.721845778434438
lung->heart,SERPINE1,PLAUR,macrophage,cardiac endothelial cell,0.0007617881026149,0.0004501314077433,0.0089729426864775,0.0082203229411433,6.835480984004776e-06,3.700225537602032e-06,-3.135255446402744e-06,-0.7372918524666503
lung->heart,SERPINE1,PLAUR,macrophage,cardiac macrophage,0.0007617881026149,0.0004501314077433,0.1065224155481143,0.1167711647936623,8.114750882636325e-05,5.256236879240515e-05,-2.858514003395809e-05,-0.6169970600549769
lung->heart,SERPINE1,PLAUR,"CD8-positive, alpha-beta T cell",cardiac fibroblast,0.0007315603129448,0.0,0.03015688239338,0.0139241918199415,2.206157832114311e-05,0.0,-2.206157832114311e-05,-4.52741934847396
lung->heart,SERPINE1,PLAUR,"CD8-positive, alpha-beta T cell",cardiac endothelial cell,0.0007315603129448,0.0,0.0089729426864775,0.0082203229411433,6.5642487597560135e-06,0.0,-6.5642487597560135e-06,-2.919196808893852
lung->heart,SERPINE1,PLAUR,"CD8-positive, alpha-beta T cell",cardiac macrophage,0.0007315603129448,0.0,0.1065224155481143,0.1167711647936623,7.792757165402318e-05,0.0,-7.792757165402318e-05,-6.3024574577371615
lung->heart,SERPINE1,PLAUR,monocyte,cardiac fibroblast,0.0023685375592846,0.0011253236248806,0.03015688239338,0.0139241918199415,7.142770861964997e-05,1.566922201235029e-05,-5.575848660729968e-05,-2.119354961496562
lung->heart,SERPINE1,PLAUR,monocyte,cardiac endothelial cell,0.0023685375592846,0.0011253236248806,0.0089729426864775,0.0082203229411433,2.1252751770230417e-05,9.250523609817066e-06,-1.2002228160413353e-05,-1.1182861441363772
lung->heart,SERPINE1,PLAUR,monocyte,cardiac macrophage,0.0023685375592846,0.0011253236248806,0.1065224155481143,0.1167711647936623,0.0002523023421314,0.0001314053504471,-0.0001208969916842,-0.935898994777054
lung->heart,SERPINE1,PLAUR,fibroblast,cardiac fibroblast,0.0818825467419034,0.1447432454701894,0.03015688239338,0.0139241918199415,0.002469322332166,0.0020154327145678,-0.0004538896175982,-0.2928940336660813
lung->heart,SERPINE1,PLAUR,fibroblast,cardiac endothelial cell,0.0818825467419034,0.1447432454701894,0.0089729426864775,0.0082203229411433,0.0007347273989379,0.0011898362213141,0.0004551088223762,0.6947317850698649
lung->heart,SERPINE1,PLAUR,fibroblast,cardiac macrophage,0.0818825467419034,0.1447432454701894,0.1065224155481143,0.1167711647936623,0.0087223266701789,0.016901837369569,0.00817951069939,0.9543151209970704
lung->heart,SERPINE1,PLAUR,conventional dendritic cell,cardiac fibroblast,0.0006643937981783,0.0002470456631273,0.03015688239338,0.0139241918199415,2.003604563455687e-05,3.43991120166934e-06,-1.659613443288753e-05,-2.244260803604809
lung->heart,SERPINE1,PLAUR,conventional dendritic cell,cardiac endothelial cell,0.0006643937981783,0.0002470456631273,0.0089729426864775,0.0082203229411433,5.961567472305856e-06,2.030795132115399e-06,-3.930772340190458e-06,-1.199715845228079
lung->heart,SERPINE1,PLAUR,conventional dendritic cell,cardiac macrophage,0.0006643937981783,0.0002470456631273,0.1065224155481143,0.1167711647936623,7.077283225714866e-05,2.884780984059876e-05,-4.19250224165499e-05,-1.2658127786787725
lung->heart,SERPINE1,PLAUR,mast cell,cardiac fibroblast,0.002969319481743,0.0007212637435968,0.03015688239338,0.0139241918199415,8.954541839929681e-05,1.0043014718612383e-05,-7.950240368068443e-05,-3.035507564168859
lung->heart,SERPINE1,PLAUR,mast cell,cardiac endothelial cell,0.002969319481743,0.0007212637435968,0.0089729426864775,0.0082203229411433,2.6643533527521478e-05,5.929020898104516e-06,-2.071451262941696e-05,-1.9962186270711744
lung->heart,SERPINE1,PLAUR,mast cell,cardiac macrophage,0.002969319481743,0.0007212637435968,0.1065224155481143,0.1167711647936623,0.0003162990837293,8.422280746324731e-05,-0.000232076276266,-1.8965318715856685
lung->heart,SERPINE1,PLAUR,pulmonary alveolar type 2 cell,cardiac fibroblast,0.0030153947243121,0.002307759016236,0.03015688239338,0.0139241918199415,9.093490407070124e-05,3.213367921627068e-05,-5.880122485443056e-05,-1.472314288678299
lung->heart,SERPINE1,PLAUR,pulmonary alveolar type 2 cell,cardiac endothelial cell,0.0030153947243121,0.002307759016236,0.0089729426864775,0.0082203229411433,2.705696403836004e-05,1.8970524383795727e-05,-8.086439654564315e-06,-0.4904866922076548
lung->heart,SERPINE1,PLAUR,pulmonary alveolar type 2 cell,cardiac macrophage,0.0030153947243121,0.002307759016236,0.1065224155481143,0.1167711647936623,0.0003212071298647,0.0002694797083889,-5.1727421475811935e-05,-0.2524680527077859
lung->heart,SERPINE1,PLAUR,vein endothelial cell,cardiac fibroblast,0.0004354192743288,0.0,0.03015688239338,0.0139241918199415,1.3130887847746048e-05,0.0,-1.3130887847746048e-05,-3.820780208351146
lung->heart,SERPINE1,PLAUR,vein endothelial cell,cardiac endothelial cell,0.0004354192743288,0.0,0.0089729426864775,0.0082203229411433,3.90699219314043e-06,0.0,-3.90699219314043e-06,-2.2948389761286703
lung->heart,SERPINE1,PLAUR,vein endothelial cell,cardiac macrophage,0.0004354192743288,0.0,0.1065224155481143,0.1167711647936623,4.638191287771621e-05,0.0,-4.638191287771621e-05,-5.566264538368159
lung->heart,SERPINE1,PLAUR,lung multiciliated epithelial cell,cardiac fibroblast,0.0084441387747722,0.0065117157118768,0.03015688239338,0.0139241918199415,0.0002546488999441,9.067037864910043e-05,-0.000163978521295,-1.479636280392615
lung->heart,SERPINE1,PLAUR,lung multiciliated epithelial cell,cardiac endothelial cell,0.0084441387747722,0.0065117157118768,0.0089729426864775,0.0082203229411433,7.576877326269426e-05,5.352840605254464e-05,-2.224036721014961e-05,-0.4935116106122423
lung->heart,SERPINE1,PLAUR,lung multiciliated epithelial cell,cardiac macrophage,0.0084441387747722,0.0065117157118768,0.1065224155481143,0.1167711647936623,0.0008994900595122,0.000760380628481,-0.0001391094310311,-0.2420924859205203
