year,age_name,cases,age,period,cohort,log_cases
2019,15-19 years,14133.355301210511,17.5,2019,2001.5,9.55636365898568
2020,15-19 years,14287.318755368577,17.5,2020,2002.5,9.567197612173743
2021,15-19 years,15520.459788125909,17.5,2021,2003.5,9.649978847827253
1990,20-24 years,11375.043554541477,22.5,1990,1967.5,9.339264980669789
1991,20-24 years,11437.159584059558,22.5,1991,1968.5,9.344710376472666
1992,20-24 years,11484.854876586916,22.5,1992,1969.5,9.34887154653569
1993,20-24 years,11517.974489088536,22.5,1993,1970.5,9.351750910242965
1994,20-24 years,11531.75539251935,22.5,1994,1971.5,9.352946560646933
1995,20-24 years,11551.742243352348,22.5,1995,1972.5,9.354678111436272
1996,20-24 years,11565.213538463167,22.5,1996,1973.5,9.355843501150462
1997,20-24 years,11559.860619405214,22.5,1997,1974.5,9.355380587500685
1998,20-24 years,11573.899735838662,22.5,1998,1975.5,9.35659421678635
1999,20-24 years,11642.9742139626,22.5,1999,1976.5,9.362544090328761
2000,20-24 years,11781.71597699702,22.5,2000,1977.5,9.374388988950026
2001,20-24 years,11992.594189475498,22.5,2001,1978.5,9.392127968695117
2002,20-24 years,12264.24352965054,22.5,2002,1979.5,9.414524812153891
2003,20-24 years,12571.663104976147,22.5,2003,1980.5,9.439280141115768
2004,20-24 years,12893.096116933128,22.5,2004,1981.5,9.46452482023499
2005,20-24 years,13205.735988971312,22.5,2005,1982.5,9.488482280609372
2006,20-24 years,13479.910366909106,22.5,2006,1983.5,9.509029916823112
2007,20-24 years,13695.169082653414,22.5,2007,1984.5,9.524871443709337
2008,20-24 years,13856.809874440683,22.5,2008,1985.5,9.536604242540657
2009,20-24 years,13967.917010596297,22.5,2009,1986.5,9.544589926740349
2010,20-24 years,14025.776022547954,22.5,2010,1987.5,9.548723354997403
2011,20-24 years,14011.278841415888,22.5,2011,1988.5,9.54768928430606
2012,20-24 years,13928.936609649423,22.5,2012,1989.5,9.541795516128136
2013,20-24 years,13829.734262810132,22.5,2013,1990.5,9.534648515282019
2014,20-24 years,13752.911488692413,22.5,2014,1991.5,9.52907853454516
2015,20-24 years,13733.947508652598,22.5,2015,1992.5,9.527698776800381
2016,20-24 years,13743.729124483549,22.5,2016,1993.5,9.52841069320134
2017,20-24 years,13736.26943811154,22.5,2017,1994.5,9.52786781517606
2018,20-24 years,13737.099291751623,22.5,2018,1995.5,9.527928222273667
2019,20-24 years,13785.528922556798,22.5,2019,1996.5,9.531447229353805
2020,20-24 years,13841.70534112792,22.5,2020,1997.5,9.535513682694226
2021,20-24 years,14951.017139655693,22.5,2021,1998.5,9.612601495446652
1990,25-29 years,11171.801169630877,27.5,1990,1962.5,9.32123763677733
1991,25-29 years,11551.94552469794,27.5,1991,1963.5,9.354695707220273
1992,25-29 years,11873.845214731622,27.5,1992,1964.5,9.382177594268976
1993,25-29 years,12101.106161385718,27.5,1993,1965.5,9.40113477936208
1994,25-29 years,12260.10493574048,27.5,1994,1966.5,9.414187330693478
1995,25-29 years,12391.326630120466,27.5,1995,1967.5,9.424832739893336
1996,25-29 years,12507.067156231207,27.5,1996,1968.5,9.434129087625616
1997,25-29 years,12596.71842634482,27.5,1997,1969.5,9.44127099926888
1998,25-29 years,12680.027903560209,27.5,1998,1970.5,9.447862289655175
1999,25-29 years,12764.31166133944,27.5,1999,1971.5,9.454486744680272
2000,25-29 years,12859.490709706231,27.5,2000,1972.5,9.461915154894585
2001,25-29 years,13004.164002091848,27.5,2001,1973.5,9.473101788498496
2002,25-29 years,13200.900760280902,27.5,2002,1974.5,9.488116095198867
2003,25-29 years,13418.912321748918,27.5,2003,1975.5,9.50449487710261
2004,25-29 years,13642.770188431256,27.5,2004,1976.5,9.521038299980622
2005,25-29 years,13847.997042969975,27.5,2005,1977.5,9.535968093323305
2006,25-29 years,14001.137305001565,27.5,2006,1978.5,9.546965261588303
2007,25-29 years,14125.63680942922,27.5,2007,1979.5,9.55581742961461
2008,25-29 years,14261.306965265509,27.5,2008,1980.5,9.565375459653884
2009,25-29 years,14430.663821521915,27.5,2009,1981.5,9.577179948067814
2010,25-29 years,14644.897588550128,27.5,2010,1982.5,9.591915547144712
2011,25-29 years,14877.489730859435,27.5,2011,1983.5,9.60767180665393
2012,25-29 years,15072.249112945234,27.5,2012,1984.5,9.620676869771765
2013,25-29 years,15223.19014812996,27.5,2013,1985.5,9.630640898922287
2014,25-29 years,15337.564006312963,27.5,2014,1986.5,9.638125459477722
2015,25-29 years,15433.137126330346,27.5,2015,1987.5,9.644337031669693
2016,25-29 years,15441.454235725176,27.5,2016,1988.5,9.644875764038073
2017,25-29 years,15342.062750619416,27.5,2017,1989.5,9.638418712790157
2018,25-29 years,15216.9305609922,27.5,2018,1990.5,9.630229653773778
2019,25-29 years,15143.312108667988,27.5,2019,1991.5,9.625380302071134
2020,25-29 years,15106.843474321053,27.5,2020,1992.5,9.622969323328654
2021,25-29 years,15679.633706391627,27.5,2021,1993.5,9.660181708036182
1990,30-34 years,10498.957945349992,32.5,1990,1957.5,9.25912653093283
1991,30-34 years,10657.87080123315,32.5,1991,1958.5,9.274147763519245
1992,30-34 years,10915.555170913383,32.5,1992,1959.5,9.298035738991686
1993,30-34 years,11306.313894169913,32.5,1993,1960.5,9.33320504259793
1994,30-34 years,11763.95744360556,32.5,1994,1961.5,9.3728806839518235
1995,30-34 years,12230.752419414865,32.5,1995,1962.5,9.411790507003051
