scenario,RR,relative_reduction,baseline_cases_2021,baseline_cases_2050,scenario_cases_2050,averted_cases_2050,cumulative_averted_2022_2050,naive_full_caseload_averted_2050,naive_full_caseload_cumulative
smoking_cessation,0.6,0.4,3612983.50432062,10934160.8410546,8005689.906361008,2928470.934693592,35766743.637717865,4373664.33642184,77677352.28783706
optimized_copd_pharmacotherapy,0.75,0.25,3612983.50432062,10934160.8410546,9103866.506871104,1830294.334183495,22354214.773573663,2733540.21026365,48548345.17989815
