disease,ligand,receptor,sender,receiver,mean_ligand,mean_receptor,score
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",fibroblast,0.013310912996530533,0.48545774817466736,0.006461885757744312
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",fibroblast,0.013310912996530533,0.016091804951429367,0.00021419661061372608
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",fibroblast,0.013310912996530533,0.007628223858773708,0.00010153862240258604
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",fibroblast,0.013310912996530533,0.0512564443051815,0.0006822700961492956
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",conventional dendritic cell,0.013310912996530533,0.6445091366767883,0.008579005487263203
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",conventional dendritic cell,0.013310912996530533,1.2957876920700073,0.017248116433620453
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",conventional dendritic cell,0.013310912996530533,0.5384222269058228,0.007166891358792782
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",conventional dendritic cell,0.013310912996530533,0.0274202860891819,0.0003649890422821045
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",conventional dendritic cell,0.013310912996530533,0.006924258079379797,9.216820035362616e-05
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",conventional dendritic cell,0.013310912996530533,0.3481919765472412,0.004634753335267305
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",mast cell,0.013310912996530533,0.014076117426156998,0.00018736597849056125
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",mast cell,0.013310912996530533,0.6777046322822571,0.009020867757499218
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",mast cell,0.013310912996530533,0.3965514004230499,0.005278461147099733
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",mast cell,0.013310912996530533,0.034890614449977875,0.00046442594612017274
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",mast cell,0.013310912996530533,0.0005058146198280156,6.7328542172617745e-06
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",mast cell,0.013310912996530533,0.04867101460695267,0.0006478556315414608
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 2 cell,0.013310912996530533,0.04979923740029335,0.0006628733244724572
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 2 cell,0.013310912996530533,0.08510953187942505,0.0011328855762258172
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 2 cell,0.013310912996530533,0.3477472960948944,0.004628833848983049
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 2 cell,0.013310912996530533,0.001568294013850391,2.0875424525002018e-05
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 2 cell,0.013310912996530533,0.001968085067346692,2.6197008992312476e-05
