"exposure","beta","se","pval","or","or_lci95","or_uci95","condF","nsnp_joint","dataset_id"
"COPD",0.0724748396505243,0.024643386357285,0.00337931837434928,1.07516575420372,1.02446835746758,1.12837198980939,1.75506566633486,709,"ebi-a-GCST90018807"
"SMOK",0.0498327825712038,0.102954331648122,0.628516291872567,1.05109532022315,0.859024610306336,1.28611143259449,4.53363161030258,709,"ebi-a-GCST90029014"
"BMI",0.445914643440121,0.0358398235063657,2.87585008207379e-32,1.5619181408844,1.45596453167964,1.67558221765842,16.2435867755246,709,"ebi-a-GCST90029007"
"SBP",0.287589105648619,0.0332614695109472,3.56371683096598e-17,1.33320938335749,1.24906669121584,1.42302030177612,32.5906403589591,709,"ebi-a-GCST90029011"
