"exposure","outcome","note","method","nsnp","beta","se","or","or_lci95","or_uci95","pval"
"COPD (ebi-a-GCST90018807, 10-SNP local instruments)","FinnGen R12 I9_HEARTFAIL (Heart failure, strict; 37,653 cases / 462,695 controls)","FinnGen R12 has no HFpEF/HFrEF-specific endpoint; strict-HF used as stratified outcome","Wald-ratio IVW (fixed effect)",10,0.0359225711999442,0.025762631452428,1.03657558258007,0.985533474004865,1.09026123083862,0.163206713440756
"COPD (ebi-a-GCST90018807, 10-SNP local instruments)","FinnGen R12 I9_HEARTFAIL (Heart failure, strict; 37,653 cases / 462,695 controls)","FinnGen R12 has no HFpEF/HFrEF-specific endpoint; strict-HF used as stratified outcome","Wald-ratio IVW (random effects, DL)",10,0.0382504038626993,0.0328341795460159,1.03899136775955,0.974233191132898,1.1080540799719,0.244036441343217
"COPD (ebi-a-GCST90018807, 10-SNP local instruments)","FinnGen R12 I9_HEARTFAIL (Heart failure, strict; 37,653 cases / 462,695 controls)","FinnGen R12 has no HFpEF/HFrEF-specific endpoint; strict-HF used as stratified outcome","MR-Egger slope",10,-0.0047572571955464,0.0729216816813307,0.995254040629812,0.862703899075193,1.14816984883435,0.949585365317399
