disease,sender,receiver,receptor,score
COPD,vein endothelial cell,fibroblast,PLAUR,0.3071509897708893
Normal,vein endothelial cell,fibroblast,PLAUR,0.25295478105545044
COPD,vein endothelial cell,leukocyte,LRP1,0.2989351153373718
Normal,vein endothelial cell,leukocyte,LRP1,0.1321624517440796
COPD,vein endothelial cell,leukocyte,PLAUR,0.39129695296287537
Normal,vein endothelial cell,leukocyte,PLAUR,0.24679237604141235
COPD,vein endothelial cell,lung multiciliated epithelial cell,LRP1,0.07815733551979065
Normal,vein endothelial cell,lung multiciliated epithelial cell,LRP1,0.07157033681869507
COPD,vein endothelial cell,lung multiciliated epithelial cell,PLAUR,0.0465121828019619
Normal,vein endothelial cell,lung multiciliated epithelial cell,PLAUR,0.06734037399291992
COPD,vein endothelial cell,macrophage,LRP1,0.7317617535591125
Normal,vein endothelial cell,macrophage,LRP1,0.7160763144493103
COPD,vein endothelial cell,macrophage,PLAUR,0.9205398559570312
Normal,vein endothelial cell,macrophage,PLAUR,0.972671627998352
COPD,vein endothelial cell,mast cell,LRP1,0.013343216851353645
Normal,vein endothelial cell,mast cell,LRP1,0.009733086451888084
COPD,vein endothelial cell,mast cell,PLAUR,0.41091132164001465
Normal,vein endothelial cell,mast cell,PLAUR,0.4686063528060913
COPD,vein endothelial cell,monocyte,LRP1,0.34168994426727295
Normal,vein endothelial cell,monocyte,LRP1,0.34679850935935974
COPD,vein endothelial cell,monocyte,PLAUR,1.356757402420044
Normal,vein endothelial cell,monocyte,PLAUR,1.333545446395874
COPD,vein endothelial cell,natural killer cell,LRP1,0.006797740235924721
Normal,vein endothelial cell,natural killer cell,LRP1,0.010515554808080196
COPD,vein endothelial cell,natural killer cell,PLAUR,0.022659489884972572
Normal,vein endothelial cell,natural killer cell,PLAUR,0.026884611696004868
COPD,vein endothelial cell,neutrophil,LRP1,0.019974414259195328
Normal,vein endothelial cell,neutrophil,LRP1,0.00975764449685812
COPD,vein endothelial cell,neutrophil,PLAUR,1.8460314273834229
Normal,vein endothelial cell,neutrophil,PLAUR,1.5644623041152954
COPD,vein endothelial cell,plasma cell,LRP1,0.012816770002245903
Normal,vein endothelial cell,plasma cell,LRP1,0.022556357085704803
COPD,vein endothelial cell,plasma cell,PLAUR,0.08224247395992279
Normal,vein endothelial cell,plasma cell,PLAUR,0.04887060448527336
COPD,vein endothelial cell,pulmonary alveolar type 1 cell,LRP1,0.08331640064716339
Normal,vein endothelial cell,pulmonary alveolar type 1 cell,LRP1,0.04061879590153694
COPD,vein endothelial cell,pulmonary alveolar type 1 cell,PLAUR,0.09505656361579895
Normal,vein endothelial cell,pulmonary alveolar type 1 cell,PLAUR,0.0855228528380394
COPD,vein endothelial cell,pulmonary alveolar type 2 cell,LRP1,0.036603204905986786
Normal,vein endothelial cell,pulmonary alveolar type 2 cell,LRP1,0.034434232860803604
COPD,vein endothelial cell,pulmonary alveolar type 2 cell,PLAUR,0.07788857072591782
Normal,vein endothelial cell,pulmonary alveolar type 2 cell,PLAUR,0.05884992331266403
COPD,vein endothelial cell,smooth muscle cell,LRP1,0.3486563563346863
Normal,vein endothelial cell,smooth muscle cell,LRP1,0.3954920172691345
COPD,vein endothelial cell,smooth muscle cell,PLAUR,0.0609937347471714
Normal,vein endothelial cell,smooth muscle cell,PLAUR,0.05946943163871765
COPD,vein endothelial cell,vein endothelial cell,LRP1,0.01486007310450077
Normal,vein endothelial cell,vein endothelial cell,LRP1,0.009607803076505661
COPD,vein endothelial cell,vein endothelial cell,PLAUR,0.20903873443603516
Normal,vein endothelial cell,vein endothelial cell,PLAUR,0.24941347539424896
Normal,__ALL__,__ALL__,LRP1,19.925115894366172
Normal,__ALL__,__ALL__,PLAUR,43.033482855891634
COPD,__ALL__,__ALL__,LRP1,19.217872200246347
COPD,__ALL__,__ALL__,PLAUR,43.965708227035066
