disease,sender,receiver,receptor,score
Normal,capillary endothelial cell,pulmonary alveolar type 2 cell,LRP1,0.06351440399885178
COPD,capillary endothelial cell,pulmonary alveolar type 2 cell,PLAUR,0.12764547765254974
Normal,capillary endothelial cell,pulmonary alveolar type 2 cell,PLAUR,0.10854946821928024
COPD,capillary endothelial cell,smooth muscle cell,LRP1,0.5713856220245361
Normal,capillary endothelial cell,smooth muscle cell,LRP1,0.729490339756012
COPD,capillary endothelial cell,smooth muscle cell,PLAUR,0.09995786100625992
Normal,capillary endothelial cell,smooth muscle cell,PLAUR,0.10969216376543045
COPD,capillary endothelial cell,vein endothelial cell,LRP1,0.024353012442588806
Normal,capillary endothelial cell,vein endothelial cell,LRP1,0.017721721902489662
COPD,capillary endothelial cell,vein endothelial cell,PLAUR,0.3425772190093994
Normal,capillary endothelial cell,vein endothelial cell,PLAUR,0.4600464999675751
COPD,endothelial cell,B cell,LRP1,0.002287921030074358
Normal,endothelial cell,B cell,LRP1,0.015477382577955723
COPD,endothelial cell,B cell,PLAUR,0.01250327005982399
Normal,endothelial cell,B cell,PLAUR,0.0066458797082304955
COPD,endothelial cell,"CD4-positive, alpha-beta T cell",LRP1,0.0051990351639688015
Normal,endothelial cell,"CD4-positive, alpha-beta T cell",LRP1,0.00845139380544424
COPD,endothelial cell,"CD4-positive, alpha-beta T cell",PLAUR,0.03686271607875824
Normal,endothelial cell,"CD4-positive, alpha-beta T cell",PLAUR,0.03883366659283638
COPD,endothelial cell,"CD8-positive, alpha-beta T cell",LRP1,0.009649030864238739
Normal,endothelial cell,"CD8-positive, alpha-beta T cell",LRP1,0.01070584636181593
COPD,endothelial cell,"CD8-positive, alpha-beta T cell",PLAUR,0.031677715480327606
Normal,endothelial cell,"CD8-positive, alpha-beta T cell",PLAUR,0.030586002394557
COPD,endothelial cell,capillary endothelial cell,LRP1,0.011581992730498314
Normal,endothelial cell,capillary endothelial cell,LRP1,0.02304253913462162
COPD,endothelial cell,capillary endothelial cell,PLAUR,0.07568957656621933
Normal,endothelial cell,capillary endothelial cell,PLAUR,0.08516950160264969
COPD,endothelial cell,club cell,LRP1,0.05896926671266556
Normal,endothelial cell,club cell,LRP1,0.04872778803110123
COPD,endothelial cell,club cell,PLAUR,0.051432054489851
Normal,endothelial cell,club cell,PLAUR,0.06746672838926315
COPD,endothelial cell,conventional dendritic cell,LRP1,0.3181719183921814
Normal,endothelial cell,conventional dendritic cell,LRP1,0.3638457655906677
COPD,endothelial cell,conventional dendritic cell,PLAUR,0.7342212796211243
Normal,endothelial cell,conventional dendritic cell,PLAUR,0.7315130829811096
COPD,endothelial cell,endothelial cell,LRP1,0.006998952012509108
Normal,endothelial cell,endothelial cell,LRP1,0.024739276617765427
COPD,endothelial cell,endothelial cell,PLAUR,0.16440299153327942
Normal,endothelial cell,endothelial cell,PLAUR,0.16221417486667633
COPD,endothelial cell,endothelial cell of lymphatic vessel,LRP1,0.007324253208935261
Normal,endothelial cell,endothelial cell of lymphatic vessel,LRP1,0.01133901160210371
COPD,endothelial cell,endothelial cell of lymphatic vessel,PLAUR,0.05326320230960846
Normal,endothelial cell,endothelial cell of lymphatic vessel,PLAUR,0.052598655223846436
COPD,endothelial cell,fibroblast,LRP1,0.5119418501853943
Normal,endothelial cell,fibroblast,LRP1,0.6233832836151123
COPD,endothelial cell,fibroblast,PLAUR,0.2330659031867981
Normal,endothelial cell,fibroblast,PLAUR,0.20652061700820923
COPD,endothelial cell,leukocyte,LRP1,0.22683170437812805
Normal,endothelial cell,leukocyte,LRP1,0.10790177434682846
COPD,endothelial cell,leukocyte,PLAUR,0.29691579937934875
Normal,endothelial cell,leukocyte,PLAUR,0.2014894336462021
COPD,endothelial cell,lung multiciliated epithelial cell,LRP1,0.059305716305971146
Normal,endothelial cell,lung multiciliated epithelial cell,LRP1,0.05843237787485123
COPD,endothelial cell,lung multiciliated epithelial cell,PLAUR,0.03529340401291847
Normal,endothelial cell,lung multiciliated epithelial cell,PLAUR,0.05497889965772629
COPD,endothelial cell,macrophage,LRP1,0.555260181427002
Normal,endothelial cell,macrophage,LRP1,0.5846283435821533
COPD,endothelial cell,macrophage,PLAUR,0.6985048651695251
Normal,endothelial cell,macrophage,PLAUR,0.7941212058067322
COPD,endothelial cell,mast cell,LRP1,0.010124821215867996
Normal,endothelial cell,mast cell,LRP1,0.00794641301035881
COPD,endothelial cell,mast cell,PLAUR,0.31179913878440857
Normal,endothelial cell,mast cell,PLAUR,0.38258564472198486
COPD,endothelial cell,monocyte,LRP1,0.25927403569221497
Normal,endothelial cell,monocyte,LRP1,0.283137708902359
COPD,endothelial cell,monocyte,PLAUR,1.0295064449310303
Normal,endothelial cell,monocyte,PLAUR,1.0887504816055298
COPD,endothelial cell,natural killer cell,LRP1,0.00515811936929822
Normal,endothelial cell,natural killer cell,LRP1,0.008585245348513126
COPD,endothelial cell,natural killer cell,PLAUR,0.017194001004099846
Normal,endothelial cell,natural killer cell,PLAUR,0.021949483081698418
COPD,endothelial cell,neutrophil,LRP1,0.01515656802803278
Normal,endothelial cell,neutrophil,LRP1,0.007966462522745132
COPD,endothelial cell,neutrophil,PLAUR,1.4007670879364014
Normal,endothelial cell,neutrophil,PLAUR,1.2772785425186157
COPD,endothelial cell,plasma cell,LRP1,0.009725353680551052
Normal,endothelial cell,plasma cell,LRP1,0.018415752798318863
COPD,endothelial cell,plasma cell,PLAUR,0.06240551546216011
Normal,endothelial cell,plasma cell,PLAUR,0.03989957273006439
COPD,endothelial cell,pulmonary alveolar type 1 cell,LRP1,0.06322041153907776
Normal,endothelial cell,pulmonary alveolar type 1 cell,LRP1,0.033162523061037064
COPD,endothelial cell,pulmonary alveolar type 1 cell,PLAUR,0.07212883979082108
Normal,endothelial cell,pulmonary alveolar type 1 cell,PLAUR,0.06982367485761642
COPD,endothelial cell,pulmonary alveolar type 2 cell,LRP1,0.027774479240179062
Normal,endothelial cell,pulmonary alveolar type 2 cell,LRP1,0.028113242238759995
COPD,endothelial cell,pulmonary alveolar type 2 cell,PLAUR,0.05910177901387215
Normal,endothelial cell,pulmonary alveolar type 2 cell,PLAUR,0.0480470173060894
COPD,endothelial cell,smooth muscle cell,LRP1,0.26456013321876526
Normal,endothelial cell,smooth muscle cell,LRP1,0.3228927254676819
COPD,endothelial cell,smooth muscle cell,PLAUR,0.04628199338912964
Normal,endothelial cell,smooth muscle cell,PLAUR,0.048552803695201874
COPD,endothelial cell,vein endothelial cell,LRP1,0.01127581112086773
Normal,endothelial cell,vein endothelial cell,LRP1,0.007844127714633942
COPD,endothelial cell,vein endothelial cell,PLAUR,0.15861840546131134
Normal,endothelial cell,vein endothelial cell,PLAUR,0.20362938940525055
COPD,endothelial cell of lymphatic vessel,B cell,LRP1,0.0006625427631661296
Normal,endothelial cell of lymphatic vessel,B cell,LRP1,0.004349077586084604
COPD,endothelial cell of lymphatic vessel,B cell,PLAUR,0.003620732808485627
Normal,endothelial cell of lymphatic vessel,B cell,PLAUR,0.0018674635794013739
COPD,endothelial cell of lymphatic vessel,"CD4-positive, alpha-beta T cell",LRP1,0.001505551510490477
Normal,endothelial cell of lymphatic vessel,"CD4-positive, alpha-beta T cell",LRP1,0.0023748050443828106
COPD,endothelial cell of lymphatic vessel,"CD4-positive, alpha-beta T cell",PLAUR,0.010674810968339443
Normal,endothelial cell of lymphatic vessel,"CD4-positive, alpha-beta T cell",PLAUR,0.0109120924025774
COPD,endothelial cell of lymphatic vessel,"CD8-positive, alpha-beta T cell",LRP1,0.0027941942680627108
Normal,endothelial cell of lymphatic vessel,"CD8-positive, alpha-beta T cell",LRP1,0.003008296713232994
COPD,endothelial cell of lymphatic vessel,"CD8-positive, alpha-beta T cell",PLAUR,0.009173323400318623
Normal,endothelial cell of lymphatic vessel,"CD8-positive, alpha-beta T cell",PLAUR,0.008594535291194916
COPD,endothelial cell of lymphatic vessel,capillary endothelial cell,LRP1,0.003353946842253208
Normal,endothelial cell of lymphatic vessel,capillary endothelial cell,LRP1,0.006474854424595833
COPD,endothelial cell of lymphatic vessel,capillary endothelial cell,PLAUR,0.0219184048473835
Normal,endothelial cell of lymphatic vessel,capillary endothelial cell,PLAUR,0.023932263255119324
COPD,endothelial cell of lymphatic vessel,club cell,LRP1,0.017076490446925163
Normal,endothelial cell of lymphatic vessel,club cell,LRP1,0.013692298904061317
COPD,endothelial cell of lymphatic vessel,club cell,PLAUR,0.014893841929733753
Normal,endothelial cell of lymphatic vessel,club cell,PLAUR,0.01895786076784134
COPD,endothelial cell of lymphatic vessel,conventional dendritic cell,LRP1,0.09213713556528091
Normal,endothelial cell of lymphatic vessel,conventional dendritic cell,LRP1,0.10223908722400665
COPD,endothelial cell of lymphatic vessel,conventional dendritic cell,PLAUR,0.2126179039478302
Normal,endothelial cell of lymphatic vessel,conventional dendritic cell,PLAUR,0.20555201172828674
COPD,endothelial cell of lymphatic vessel,endothelial cell,LRP1,0.0020267765503376722
Normal,endothelial cell of lymphatic vessel,endothelial cell,LRP1,0.0069516305811703205
COPD,endothelial cell of lymphatic vessel,endothelial cell,PLAUR,0.04760828986763954
Normal,endothelial cell of lymphatic vessel,endothelial cell,PLAUR,0.04558148235082626
COPD,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,LRP1,0.002120978431776166
Normal,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,LRP1,0.003186213318258524
COPD,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,PLAUR,0.015424110926687717
Normal,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,PLAUR,0.014779996126890182
COPD,endothelial cell of lymphatic vessel,fibroblast,LRP1,0.14824959635734558
