location_name,ASPR_1990,ASPR_2021,cases_1990,cases_2021
Afghanistan,13.96057367338,13.20661921598,780.9919478221187,1231.0748118474792
Albania,18.81240965462,10.0780166143,339.7921031200198,447.67690392055
Algeria,9.36976941446,11.18163840186,1019.9704683624876,3574.0973659861907
American Samoa,41.61435169972,29.74666879364,6.5099878195809895,10.98498905277987
Andorra,29.91300993568,31.052584003160003,16.172063086305094,49.54961979287487
Angola,50.99920174548,30.883308852600003,1629.5816039820252,3048.9358044960527
Antigua and Barbuda,4.00613353357,5.11770582093,2.3874072460418443,4.859570591385503
Argentina,12.72397299287,16.69725190071,3865.2852350576673,9620.14023883345
Armenia,19.38701950099,9.98960374188,470.6170752247456,426.0066935542549
Australia,30.46526257139,51.33313428708,6182.442589971857,25311.861007070493
Austria,12.87159357721,21.24484513614,1605.596689682607,4077.772996543209
Azerbaijan,9.30949775778,5.80640525873,408.5608890720154,477.1587716995185
Bahamas,4.5949398953200005,5.23326195009,6.274884839851843,17.94030715436172
Bahrain,20.66691707213,22.77001731456,32.52540850947133,167.37880049021177
Bangladesh,54.39582420299,40.36247439621,21514.30833825548,49634.79533249423
Barbados,6.46174279486,9.03017869106,21.352024458400933,47.89477575539837
Belarus,18.22506905232,4.6133710361,2258.9476608724467,738.5198505372655
Belgium,22.07089787923,28.09453785359,3499.549209716971,6999.012396625592
Belize,13.98104263749,18.45889813562,12.95091507472222,47.223715971368506
Benin,49.80080803513,36.22430220766,969.7412355671312,1813.7022434540056
Bermuda,8.36256577074,13.84885267571,4.91020183889989,20.496844140254925
Bhutan,59.751538271920005,54.2146844109,99.39689056808976,292.90443514860823
Bolivia (Plurinational State of),21.52103197651,21.49870436201,557.5779152197202,1600.3657750222787
Bosnia and Herzegovina,15.159565950409998,9.56395545919,523.3487313782614,612.6298436929852
Botswana,61.76650654919,49.23362615619,300.5265393115561,637.4225305976693
Brazil,28.832140845180003,30.89007463846,20993.1827658798,73794.85261732685
Brunei Darussalam,12.56007981979,9.93711684561,10.439751450540792,23.8618878502396
Bulgaria,7.663486578360001,3.32439637966,888.3887948263882,484.1584333219705
Burkina Faso,51.31097017361999,41.98418163064,1969.4788829615725,3684.5666868420567
Burundi,62.40259498052001,52.510845154280005,1327.2000790360846,2276.1871255586943
Cabo Verde,39.61033143244,26.191395846280003,94.00812399444746,113.71854051518824
Cambodia,23.65974929956,23.69153529192,737.1822098087092,2156.838873995915
Cameroon,46.50346711512,33.56335926252,1869.5348795701416,3994.0362879052327
Canada,29.13100117057,55.37404764156,9806.890849434709,43426.76046862789
Central African Republic,53.98126587706,45.79355339008,474.6589200884297,783.5035367696671
Chad,57.59228013612,44.68340078406,1541.7741020452947,2478.010115083485
Chile,14.58460069193,17.778885817869998,1365.8705008907282,4620.455278272734
China,109.63549232523,76.89054004683,692699.9866919144,1511247.9244923254
Colombia,25.879863305,37.95182721799,3944.1526784435687,21447.490453698472
Comoros,52.61446927442999,37.87063712834,91.50242169530172,168.02415764380825
Congo,36.05527510001,27.56248319619,316.64553355335624,612.7749760070196
Cook Islands,15.79148899341,12.78001733675,1.5646423857968652,3.1531628894324224
Costa Rica,22.274736721030003,28.82345211548,365.3911801440783,1593.121739579554
Croatia,6.704175337620001,9.16904024063,380.5525196625048,882.428116598247
Cuba,14.16836539185,25.182394382290003,1457.5490223230263,5061.088509876355
Cyprus,12.00332685769,15.89323844777,88.15276866490348,333.7388169928273
Czechia,8.968455433719999,20.135938717010003,1214.0175988167382,4675.473153829075
Côte d'Ivoire,40.78193932405,32.42718783492,1444.804337690162,3352.674095262564
Democratic People's Republic of Korea,75.20740885378,65.04399054731,8725.88668689393,19064.542993338808
Democratic Republic of the Congo,48.60915813869,40.8379156356,6228.461179831499,12570.569758551646
Denmark,17.77338884581,50.61494207585999,1491.131698204861,6558.818645973327
Djibouti,46.8693539309,33.37470586848,55.5401073498984,179.53798639609832
Dominica,7.911407019349999,8.775641073780001,4.822359033654194,6.872461872049477
Dominican Republic,11.65119058035,11.04870306658,361.61927285928726,1061.0468422188546
Ecuador,18.20076563842,15.93183814237,862.0993169221751,2442.746820823575
Egypt,12.1562802663,7.920204418229999,2726.17218160168,3917.229207403207
El Salvador,25.76848198448,21.45864881586,723.2619609941682,1453.4076386024146
Equatorial Guinea,56.73479949632,27.35492203343,89.73338490447392,127.0306504938023
Eritrea,55.70219087909,39.28680485568,490.6472975643562,907.3432580368998
Estonia,3.5356175430900003,3.3201827832200004,71.52510811716418,98.353711989892
Eswatini,56.90269807001,42.95950701786,144.90446668829213,207.03731639385504
Ethiopia,70.81179604364,48.890539913720005,11972.95123625064,20529.4335183323
Fiji,22.35163895076,15.77618809268,52.99944894197662,83.94667572723642
Finland,6.57213105586,12.96640849517,479.660312016493,1863.3563980221927
France,33.070336224479995,40.60186404634,29448.844302507176,65170.412011452194
Gabon,32.126358731619995,25.160046244000004,163.69959931802344,222.17282117678224
Gambia,51.75814129983,35.15785570912,170.44417252486974,336.2344106153399
Georgia,3.86207651097,4.32831401984,219.7430124648594,267.31527451566365
Germany,11.93875771396,25.89898972049,15649.134026034752,52333.929410124365
Ghana,34.62910695668,24.98671713181,1849.024208575519,3721.527441921516
Greece,8.1475737085,8.06420473223,1195.9173934909822,2292.2262326573937
Greenland,38.64702424408,41.79891030164,9.418762260092436,23.885464921791662
Grenada,7.415835833990001,7.99203518196,6.108869977512557,8.190917684259666
Guam,19.73869428739,15.72606264368,9.732826821685924,34.641727566357154
Guatemala,21.538773558480003,20.28199057525,561.7429734068129,2046.132445794686
Guinea,50.52909644985,41.3601678816,1553.4501477002402,2246.534379546687
Guinea-Bissau,44.51179915419,33.29699332175,154.67403213878103,219.58900939017897
Guyana,4.24729366104,5.63522065827,13.032253773689307,29.33318457410011
Haiti,14.65776930842,16.23697754461,350.39593174424857,847.6170976117602
Honduras,29.55239367688,26.645158995720003,534.9326298479941,1457.3534310884245
Hungary,10.74691646906,14.14919418398,1535.115097552673,2898.7302560960934
Iceland,7.431521318600001,15.00932976501,22.19058897929432,90.62163567819152
India,67.69397303440999,65.20816858171,209232.0278622828,629642.8008634907
Indonesia,28.5377794518,26.11190210723,20539.319987838982,45860.01184243192
Iran (Islamic Republic of),12.58501292995,15.50575181193,2936.651366954733,11144.714109516071
Iraq,6.07517312275,5.73688302816,492.1532604212892,1233.106156163089
Ireland,22.49280626861,35.76167781856,934.1075949640472,2981.8586643551994
Israel,9.7457221842,21.42837009777,455.78416616143386,2839.825647897459
Italy,13.683782820430002,19.5282798332,12272.744527913752,33315.7186215906
Jamaica,10.75366519143,14.02104566176,203.3919038106753,446.6657777206371
Japan,7.79185300773,7.86304106127,11976.755221018935,40365.81264787909
Jordan,12.13474147817,9.84093418531,149.74793166673234,667.9080993374862
Kazakhstan,18.87787938512,17.93333797887,2156.422404224699,2794.697048813605
Kenya,62.07715052778,46.569483249440005,4792.770807471631,9338.2864679998
Kiribati,49.42856592344,39.86667883137,12.229995579471364,17.970680918753406
