year,Global,High SDI,High-middle SDI,Low SDI,Low-middle SDI,Middle SDI
1990,41.93125395551,21.2507563359,43.00928453333,59.56792677447999,53.08125202666,63.31039197797
1991,42.2102233036,21.61250202126,43.34088830914,59.54593750714,52.91969415985,63.36844348976
1992,42.50454958418,22.00330619086,43.73878685865,59.50342689279,52.78226138431,63.3744232823
1993,42.81355633713,22.40715972638,44.19452022346,59.46744985386,52.69901508742,63.34089140519001
1994,43.11112662002,22.80425710328,44.64827821696,59.38882322107,52.6856837278,63.27020741696
1995,43.3862477886,23.17717217729,45.14842491069,59.29630117584,52.70879627999,63.18854479693999
1996,43.70745983705,23.58220719259,45.64602870996,59.2921436728,52.78444884779,63.17668743591
1997,44.10992395236,24.03957310909,46.23219761776,59.37331723933,52.93232098179,63.22731666868
1998,44.51644605724,24.511611275590003,46.78558532129,59.45907971586,53.11142447513,63.25067422216
1999,44.85604846512,24.93877366954,47.17752029772,59.52230321681,53.34282789302,63.18359066351
2000,45.05216581972,25.271971525620003,47.343244616700005,59.5731522211,53.5936158268,62.95409194952
2001,44.91663847422,25.63149689557,46.72579392303,59.56444052912,53.79132608753999,62.11281860681
2002,44.46464168263,26.10667258468,45.355302619860005,59.48335550539,53.960351687160006,60.57154499925
2003,43.86991070135,26.64417488053,43.65986502113,59.30192949391,54.06847182255,58.76270537335
2004,43.28198655599,27.15981555208,42.00895613336,59.0821322625,54.08366593653,57.102684350340006
2005,42.91327944779,27.58059682518,40.9313068234,58.91902825834,54.06984952541001,56.00505742276
2006,42.77228421426,27.97544725011,40.3441773546,58.68635902833,54.00994677657,55.40990333621001
2007,42.67435795706,28.41059128281,39.86606770469,58.28434766277,53.825827213,54.93360395779
2008,42.59858428085,28.854783085340003,39.5109829812,57.81928421282,53.58464234127,54.48338154972
2009,42.53847900009,29.24291793985,39.24281247773,57.40384339892,53.42253406271,54.049424045
2010,42.47524177821,29.54786770047,39.03863369162,57.11561200079,53.38847826435,53.59053329807
2011,42.38912901636,29.81736976757,38.81546770714,56.86312486578,53.4217784369,53.02298710545
2012,42.23719167549,30.08206108277,38.50217496139,56.531831504710006,53.43161180298,52.33418127691
2013,42.05134675738,30.34558979897,38.214054178880005,56.06255775041,53.292864254120005,51.61702405058
2014,41.88426468513,30.57674243531,38.08937323784,55.4444793985,52.92464912361,51.02398055834
2015,41.767951034940005,30.78314031832,38.10224359426,54.87014759232,52.52238391348,50.54377044208
2016,41.75876496548,30.98917359265,38.29397661323,54.34184978323,52.25682241695,50.18123220607
2017,41.72290111061,31.16843514945,38.43741331574,53.79653666358,52.0731737583,49.80155585138
2018,41.70040867408,31.31883221158,38.57521964699,53.37374971978,51.90538645962,49.483708906
2019,41.76093523284,31.42756828886,38.82163994036,53.1544483727,51.72582223801,49.36551718918
2020,41.55878505964,30.755798340890003,38.9587596559,52.99508710648,51.2720740197,49.31978928665001
2021,43.23734091268,30.47143455073,42.43531152447,54.17403392859,51.862722309240006,51.95081408111
