cell_type,gene,mean_COPD,mean_Normal,pct_COPD,pct_Normal,log2FC_COPD_vs_Normal,wilcoxon_stat,pvalue,n_COPD,n_Normal,fdr
"CD8-positive, alpha-beta T cell",CD163,0.0281162578612566,0.02092362754046917,0.018867924528301886,0.014236244709503656,0.4314810335636139,0.2494872867624122,0.8029838737532731,1537,2599,1.0
capillary endothelial cell,CD163,0.03575628995895386,0.025204621255397797,0.030120481927710843,0.02090433992274483,0.5121586322784424,0.5886405563171342,0.5561024217635742,1992,4401,1.0
club cell,CD163,0.012156868353486061,0.04554758593440056,0.027848101265822784,0.07462686567164178,-1.929805040359497,-0.8116588394237442,0.41698741870339906,395,134,1.0
conventional dendritic cell,CD163,1.1614776849746704,1.1992290019989014,0.734982332155477,0.7589498806682577,-0.07861429452896118,-0.9921501674037241,0.32112427727591863,1132,1676,0.8593808448762799
endothelial cell,CD163,0.03083331696689129,0.025379914790391922,0.043076923076923075,0.02555366269165247,0.28475508093833923,0.42403476625897574,0.6715404586777238,325,587,1.0
endothelial cell of lymphatic vessel,CD163,0.020965592935681343,0.024739805608987808,0.023622047244094488,0.021897810218978103,-0.241543248295784,0.021779068983253165,0.9826241907588207,127,137,1.0
fibroblast,CD163,0.09331339597702026,0.03819631412625313,0.05668016194331984,0.03156510302498904,1.3288450241088867,1.0493682190094848,0.2940086794315112,741,2281,0.8063047186364339
leukocyte,CD163,0.7867048978805542,0.31890901923179626,0.4918918918918919,0.2513089005235602,1.6710264682769775,4.6520717792989625,3.2861664399756815e-06,185,191,3.093529096942624e-05
lung multiciliated epithelial cell,CD163,0.13078179955482483,0.06364406645298004,0.078125,0.03510436432637571,1.0882779359817505,1.6301527370689388,0.10306922007047467,896,1054,0.34738144542271093
macrophage,CD163,1.639102578163147,1.3258806467056274,0.942057942057942,0.960209881941408,0.5857603549957275,17.906486118524043,1.0495588184766024e-71,2002,2287,9.550985248137082e-70
mast cell,CD163,0.021587621420621872,0.01982400007545948,0.018440905280804692,0.020491803278688523,0.12423287332057953,-0.08354222017418307,0.9334204078596245,1193,1220,1.0
monocyte,CD163,0.8475977778434753,0.7532727718353271,0.6430317848410758,0.5695919508105086,0.24722984433174133,3.7750645362799835,0.00015996624377950824,1636,1789,0.0011802914743731284
natural killer cell,CD163,0.02206152118742466,0.016885312274098396,0.021137026239067054,0.01708047191406938,0.3895092308521271,0.30566526704456676,0.7598595212057011,2744,5679,1.0
neutrophil,CD163,0.029132334515452385,0.07201620936393738,0.018292682926829267,0.03081232492997199,-1.3368949890136719,-0.2374862934964268,0.8122795512999905,164,357,1.0
plasma cell,CD163,0.014864834025502205,0.0203343965113163,0.027932960893854747,0.05263157894736842,-0.45597583055496216,-0.4118067445673673,0.6804810774829924,179,209,1.0
pulmonary alveolar type 1 cell,CD163,0.036592818796634674,0.033369455486536026,0.0319634703196347,0.03582089552238806,0.13537095487117767,-0.06975940989684393,0.9443851546444028,219,335,1.0
pulmonary alveolar type 2 cell,CD163,0.017854725942015648,0.014732502400875092,0.025943396226415096,0.033179012345679014,0.27956196665763855,-0.2777544026317373,0.781200895749524,848,1296,1.0
smooth muscle cell,CD163,0.038419175893068314,0.03527999669313431,0.03160270880361174,0.02751196172248804,0.12525437772274017,0.1168617637043986,0.9069695986259422,443,836,1.0
vein endothelial cell,CD163,0.03247896209359169,0.026882510632276535,0.04221954161640531,0.02951096121416526,0.27689439058303833,0.47968797360378657,0.6314492807119979,829,1186,1.0
B cell,CDKN1A,0.2728504538536072,0.18278181552886963,0.2753623188405797,0.2016348773841962,0.645423173904419,1.9166431240537787,0.05528328547084652,345,367,0.22508197268493388
"CD4-positive, alpha-beta T cell",CDKN1A,0.2621571719646454,0.22700408101081848,0.23787914974922378,0.21092226246865423,0.23410403728485107,2.5197614577796417,0.011743438867196265,4187,7178,0.05936960760638112
"CD8-positive, alpha-beta T cell",CDKN1A,0.17155885696411133,0.13513457775115967,0.13012361743656473,0.10196229318968834,0.3712525963783264,1.4890013506108561,0.13648701308023836,1537,2599,0.44892716350488043
