"phenocode","phenotype","category","pval","beta_altC","sebeta","mlogp","maf","n_case","n_control","bonferroni_sig","fdr","rank"
"OTHER_DRUGADVERS_SECONDA_PARKINSONI","Other drug-induced secondary parkinsonism","VI Diseases of the nervous system (G6_)",NA,NA,NA,NA,NA,303,500045,NA,NA,2246
"OTHER_SYSTCON_FG","Other systemic involvement of connective tissue (FG)","Rheuma endpoints",NA,NA,NA,NA,NA,12032,374317,NA,NA,2247
"P16_BACTERIAL_SEPSIS_NEWBO","Bacterial sepsis of newborn","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,203,499933,NA,NA,2248
"P16_BIRTHINJY_PERIP_NERVOUS_SYSTEM","Birth injury to peripheral nervous system","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,107,500131,NA,NA,2249
"P16_BIRTH_ASPHYXIA","Birth asphyxia","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,190,499476,NA,NA,2250
"P16_BIRTH_TRAUMA","Birth trauma","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,217,500131,NA,NA,2251
"P16_CARDIOV_DISORD_ORIGINA_PERINA_PERIOD","Cardiovascular disorders originating in the perinatal period","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,120,499476,NA,NA,2252
"P16_CHRONIC_RESPI_DISEA_ORIGINA_PERINA_PERIOD","Chronic respiratory disease originating in the perinatal period","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,69,499476,NA,NA,2253
"P16_DISORD_MUSCLE_TONE_NEWBO","Disorders of muscle tone of newborn","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,56,500002,NA,NA,2254
"P16_DISORD_RELATED_GESTATION_LOW_BIRTHWGHTT_NECIFIED","Disorders related to short gestation and low birth weight, not elsewhere classified","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,782,499424,NA,NA,2255
"P16_DISORD_RELATED_LONG_GESTATION_HIGH_BIRTHWGHTT","Disorders related to long gestation and high birth weight","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,91,499424,NA,NA,2256
"P16_FEEDI_PROBL_NEWBO","Feeding problems of newborn","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,151,500002,NA,NA,2257
"P16_FETAL_DEATH_UNSP_CAUSE","Fetal death of unspecified cause","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,60,500002,NA,NA,2258
"P16_FET_NEWB_COMPLICATIO_PLACEN_CORD_MEMBRANES","Fetus and newborn affected by complications of placenta, cord and membranes","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,54,499887,NA,NA,2259
"P16_FET_NEWB_MATERN_COMPLICATIO_PREGNAC","Fetus and newborn affected by maternal complications of pregnancy","XVI Certain conditions originating in the perinatal period (P16_)",NA,NA,NA,NA,NA,205,499887,NA,NA,2260
