"phenocode","phenotype","category","pval","beta_altC","sebeta","mlogp","maf","n_case","n_control","bonferroni_sig","fdr","rank"
"J10_ASTHMA_MAIN_EXMORE","Asthma (only as main-diagnosis) (more control exclusions)","X Diseases of the respiratory system (J10_)",8.9375811898492e-05,0.034192,0.00872743,4.04878,0.212417,47300,259839,FALSE,0.0135851234085708,1
"J10_ASTHMA_EXMORE","Asthma (more control exclusions)","X Diseases of the respiratory system (J10_)",0.00104541806377651,0.0261949,0.0079911,2.98071,0.212374,59100,259839,FALSE,0.0465350554386832,2
"R18_ANOREXIA","Anorexia","XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R18_)",0.00129464291806073,0.223916,0.0696005,2.88785,0.213207,546,499802,FALSE,0.0465350554386832,3
"M13_KNEEDERANGEMENTS","Internal derangement of knee","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.00135325612052353,0.0401889,0.0125416,2.86862,0.212803,20142,315115,FALSE,0.0465350554386832,4
"J10_CHRONRHINITIS","Chronic rhinitis, nasopharyngitis and pharyngitis","X Diseases of the respiratory system (J10_)",0.00210989090477726,0.0437066,0.0142167,2.67574,0.213068,15219,371520,FALSE,0.0465350554386832,5
"D3_OTHPRIMTHROMBOCYTOPENIA","Other primary thrombocytopenia","III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)",0.00226793184933848,0.396876,0.130008,2.64437,0.213151,129,492275,FALSE,0.0465350554386832,6
"I9_CARDMYOINOTH","Cardiomyopathy in other diseases","IX Diseases of the circulatory system (I9_)",0.00278939488379131,0.348426,0.116529,2.55449,0.213178,172,375343,FALSE,0.0465350554386832,7
"M13_BEHCET","Behçet disease","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.00291366756891258,-0.497251,0.167047,2.53556,0.213073,105,484260,FALSE,0.0465350554386832,8
"G6_CARPTU","Carpal tunnel syndrome","VI Diseases of the nervous system (G6_)",0.00324645957951405,0.0301562,0.0102454,2.48859,0.213132,31181,435371,FALSE,0.0465350554386832,9
"ASTHMA_PNEUMONIA","Asthma-related pneumonia","Asthma and related endpoints",0.0033968783964006,0.0396099,0.0135218,2.46892,0.213042,16964,441248,FALSE,0.0465350554386832,10
"M13_FIBROMYALGIA","Fibromyalgia","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.00381777210141467,-0.0850667,0.029406,2.41819,0.212544,3623,357549,FALSE,0.0465350554386832,11
"G6_POLYOTHUNS","Other and unspecified polyneuropathies, also in other diseases","VI Diseases of the nervous system (G6_)",0.00389609914548039,0.0577041,0.0199913,2.40937,0.213228,7512,491583,FALSE,0.0465350554386832,12
"ST19_FRACT_LUMBAR_SPINE_PELVIS","Fracture of lumbar spine and pelvis","XIX Injury, poisoning and certain other consequences of external causes (ST19_)",0.00397997184672948,0.052629,0.0182756,2.40012,0.213144,9061,481639,FALSE,0.0465350554386832,13
"I9_AORTANEUR","Aortic aneurysm","IX Diseases of the circulatory system (I9_)",0.00560325000256954,-0.0501139,0.0180908,2.25156,0.213199,9937,463106,FALSE,0.0482774669588755,14
"M13_OTHERJOINT","Other joint disorders","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.00591275657911846,0.0170267,0.00618571,2.22821,0.213199,110868,315115,FALSE,0.0482774669588755,15
"N14_MENORRHAGIA","Menorrhagia","XIV Diseases of the genitourinary system (N14_)",0.00601533751196032,0.0317599,0.0115619,2.22074,0.213906,28642,130160,FALSE,0.0482774669588755,16
"O15_ANTEPART_HAEM_NAS","Antepartum haemorrhage, not elsewhere classified","XV Pregnancy, childbirth and the puerperium (O15_)",0.0069205402682464,0.0772432,0.0286018,2.15986,0.214134,3627,221186,FALSE,0.0482774669588755,17
"C3_AML_EXALLC","Acute myeloid leukaemia, excluding all cancers (controls excluding all cancers)","II Neoplasms, from cancer register (ICD-O-3)",0.00699664759416629,-0.264722,0.0981539,2.15511,0.213328,322,378747,FALSE,0.0482774669588755,18
"AB1_VIRAL_CNS","Viral infections of the central nervous system","I Certain infectious and parasitic diseases (AB1_)",0.00712147575376527,0.0858882,0.0319155,2.14743,0.213207,2847,497501,FALSE,0.0482774669588755,19
"CD2_BENIGN_LIVE_BILE","Benign neoplasm: Liver/bile ducts","II Neoplasms from hospital discharges (CD2_)",0.00803174663489813,-0.159446,0.0601515,2.09519,0.213207,862,499486,FALSE,0.0482774669588755,20
"E4_HYPODRUG","Drug-induced hypoglycaemia without coma","IV Endocrine, nutritional and metabolic diseases (E4_)",0.00836199685743527,0.180808,0.0685634,2.07769,0.213165,575,496961,FALSE,0.0482774669588755,21
"L12_PRURIGONOD","Prurigo nodularis","XII Diseases of the skin and subcutaneous tissue (L12_)",0.0088220598548232,0.14971,0.0571657,2.05443,0.213076,844,432874,FALSE,0.0482774669588755,22
"D3_SPLEENDISEASE","Diseases of spleen","III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)",0.00883873269570948,0.178762,0.0682758,2.05361,0.213187,580,491224,FALSE,0.0482774669588755,23
"G6_NERPLEX","Nerve, nerve root and plexus disorders","VI Diseases of the nervous system (G6_)",0.00988462049745,0.0189638,0.00735075,2.00504,0.213207,64977,435371,FALSE,0.0482774669588755,24
"H8_TYMPSCLE","Tympanosclerosis","VIII Diseases of the ear and mastoid process (H8_)",0.0105125966109905,-0.540504,0.211259,1.97829,0.21323,68,465154,FALSE,0.0482774669588755,25
"G6_BENINTRAHYP","Benign intracranial hypertension","VI Diseases of the nervous system (G6_)",0.0105496973315215,0.221829,0.0867442,1.97676,0.213241,344,463029,FALSE,0.0482774669588755,26
"Q17_HYPOSPADIAS","Hypospadias","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",0.0106059603697486,0.392231,0.15349,1.97445,0.212383,131,217599,FALSE,0.0482774669588755,27
"G6_CERCYST","Cerebral cysts","VI Diseases of the nervous system (G6_)",0.0108412659912865,0.0950991,0.0373263,1.96492,0.213283,2163,463029,FALSE,0.0482774669588755,28
"F5_SCHIZOTYP","Schizotypal disorder","V Mental and behavioural disorders (F5_)",0.0113629213327281,-0.16548,0.0653729,1.94451,0.213263,906,484776,FALSE,0.0482774669588755,29
"H7_CATARACTSENILE","Senile cataract","VII Diseases of the eye and adnexa (H7_)",0.0113975104745532,0.0203218,0.00803149,1.94319,0.213179,83886,409535,FALSE,0.0482774669588755,30
"D3_OTHHAEMOGLOPAT","Other haemoglobinopathies","III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)",0.0114646288587837,-0.576526,0.228037,1.94064,0.213215,57,499230,FALSE,0.0482774669588755,31
"J10_BRONCH","Bronchitis, not specified as acute or chronic","X Diseases of the respiratory system (J10_)",0.0116284010053594,0.0719303,0.0285073,1.93448,0.212805,3729,409070,FALSE,0.0482774669588755,32
"M13_NECROVASCNAS","Other specified/unspecified necrotizing vasculopathies","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0120667412457488,0.199286,0.079391,1.91841,0.213124,478,484260,FALSE,0.0482774669588755,33
"L12_URTICA_CHOLINERG","Cholinergic urticaria","XII Diseases of the skin and subcutaneous tissue (L12_)",0.0122605513331564,-0.326154,0.130224,1.91149,0.213056,177,482901,FALSE,0.0482774669588755,34
"G6_FEMMEPOP","Lesion of medial popliteal nerve","VI Diseases of the nervous system (G6_)",0.0131758912003873,0.320878,0.12944,1.88022,0.212816,135,435371,FALSE,0.0482774669588755,35
"J10_PLEURPLAGUE","Pleural plaque","X Diseases of the respiratory system (J10_)",0.0134078764686164,0.0718476,0.0290557,1.87264,0.213229,3689,479655,FALSE,0.0482774669588755,36
"BRONCHITIS","Bronchitis","Asthma and related endpoints",0.0136842184975433,0.0168097,0.0068181,1.86378,0.213207,77621,422727,FALSE,0.0482774669588755,37
"L12_NAIL_DYSTROPHY","Nail dystrophy","XII Diseases of the skin and subcutaneous tissue (L12_)",0.0139161787974075,-0.285647,0.116144,1.85648,0.213018,222,476404,FALSE,0.0482774669588755,38
"Q17_OTHER_CONGEN_MALFO_BRAIN","Other congenital malformations of brain","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",0.0140333061544251,0.293211,0.119366,1.85284,0.2132,168,499525,FALSE,0.0482774669588755,39
"AB1_DERMATOPHYTOSIS","Dermatophytosis","I Certain infectious and parasitic diseases (AB1_)",0.0144075455070724,-0.0598421,0.0244559,1.84141,0.213134,5071,488977,FALSE,0.0482774669588755,40
"I9_VARICVESOTH","Varicose veins of other sites","IX Diseases of the circulatory system (I9_)",0.0153631404182628,0.0832144,0.0343336,1.81352,0.212972,2560,432223,FALSE,0.0482774669588755,41
"SLEEP","Sleep disorders (combined)","Neurological endpoints",0.0154614421557131,-0.0178296,0.00736339,1.81075,0.213189,65076,430194,FALSE,0.0482774669588755,42
"AB1_VIRAL_MENINGITIS","Viral meningitis","I Certain infectious and parasitic diseases (AB1_)",0.0155024378887104,0.112957,0.0466684,1.8096,0.213176,1386,497501,FALSE,0.0482774669588755,43
"H8_PERIPHVERTIGO","Other peripheral vertigo","VIII Diseases of the ear and mastoid process (H8_)",0.015655610216691,0.0716856,0.0296608,1.80533,0.213308,3436,474839,FALSE,0.0482774669588755,44
"O15_MAT_CARE_MALPRESENT","Maternal care for known or suspected malpresentation of fetus","XV Pregnancy, childbirth and the puerperium (O15_)",0.0159723934615742,-0.0464987,0.0192977,1.79663,0.213641,8714,221186,FALSE,0.0482774669588755,45
"PULM_INFECTIONS","COPD/asthma/ILD related infections","Interstitial lung disease endpoints",0.0162640986554647,0.0127055,0.00528748,1.78877,0.213207,162180,338168,FALSE,0.0482774669588755,46
"H8_POSTMASTNAS","Other disorders following mastoidectomy","VIII Diseases of the ear and mastoid process (H8_)",0.0164478826960494,-0.37379,0.155822,1.78389,0.213165,125,437331,FALSE,0.0482774669588755,47
"N14_VULVAL_HSIL","HSIL lesion of the vulva","XIV Diseases of the genitourinary system (N14_)",0.0167841750371277,-0.174297,0.072885,1.7751,0.213839,563,281501,FALSE,0.0482774669588755,48
"D3_SIDEROANASCND","Secondary sideroblastic anaemia","III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)",0.0173544158543109,0.410028,0.172345,1.76059,0.213223,101,479581,FALSE,0.0482774669588755,49
"K11_DISOESINOTH","Disorders of oesophagus in diseases classified elsewhere","XI Diseases of the digestive system (K11_)",0.0175041086348005,0.156658,0.0659349,1.75686,0.213048,691,423785,FALSE,0.0482774669588755,50
"G6_HEADACHE","Other headache syndromes","VI Diseases of the nervous system (G6_)",0.0179502292702939,0.0287219,0.0121362,1.74593,0.213311,21750,374605,FALSE,0.0482774669588755,51
"N14_MESNRUIRREG","Excessive, frequent and irregular menstruation","XIV Diseases of the genitourinary system (N14_)",0.0180251961746833,0.021975,0.00929138,1.74412,0.213908,50120,130160,FALSE,0.0482774669588755,52
"H7_GLAUCOMA_JOAG","Juvenile Open Angle Glaucoma","VII Diseases of the eye and adnexa (H7_)",0.0183895033375176,-0.281527,0.119408,1.73543,0.213207,210,500138,FALSE,0.0482774669588755,53
"CD2_BENIGN_EYE","Benign neoplasm of eye and adnexa","II Neoplasms from hospital discharges (CD2_)",0.0184960929822323,-0.0670381,0.0284598,1.73292,0.213207,3735,496613,FALSE,0.0482774669588755,54
"H7_RETINAVASC","Retinal vascular disorders","VII Diseases of the eye and adnexa (H7_)",0.018606727614423,0.060252,0.025603,1.73033,0.213191,4691,455449,FALSE,0.0482774669588755,55
"ILD_INSUFFICIENCY","ILD-related respiratory insufficiency","Interstitial lung disease endpoints",0.0186303065071825,0.12624,0.0536544,1.72978,0.213163,1047,494583,FALSE,0.0482774669588755,56
"M13_OTHERBONE","Other disorders of bone","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.018811351563994,0.0433643,0.0184588,1.72558,0.213182,8983,473264,FALSE,0.0482774669588755,57
"E4_GLUCOPANCREAS","Other disorders of glucose regulation and pancreatic internal secretion","IV Endocrine, nutritional and metabolic diseases (E4_)",0.0193945630676635,0.0698813,0.0298911,1.71232,0.213207,3387,496961,FALSE,0.0482774669588755,58
"K11_ADHE","Intestinal adhesions without obstruction","XI Diseases of the digestive system (K11_)",0.0196521468171625,0.0718038,0.0307785,1.70659,0.213684,3213,394725,FALSE,0.0482774669588755,59
"I9_HYPERTROCARDMYOP","Hypertrophic cardiomyopathy","IX Diseases of the circulatory system (I9_)",0.0197087917220118,-0.109263,0.0468567,1.70534,0.213207,1376,498972,FALSE,0.0482774669588755,60
"H7_GLAUCCLOSEPRIM","Primary angle-closure glaucoma","VII Diseases of the eye and adnexa (H7_)",0.0202311234429955,0.102153,0.0439929,1.69398,0.213221,1569,473757,FALSE,0.0482774669588755,61
"CD2_BENIGN_LIVER","Benign neoplasm: Liver","II Neoplasms from hospital discharges (CD2_)",0.0205499135872523,-0.144962,0.0625875,1.68719,0.213207,768,499580,FALSE,0.0482774669588755,62
"ASTHMA_NAS","Asthma, unspecified (mode)","Asthma and related endpoints",0.0208818994390627,0.024363,0.0105462,1.68023,0.212114,30770,270290,FALSE,0.0482774669588755,63
"F5_ALCOHOLAC","Acute alcohol intoxication","V Mental and behavioural disorders (F5_)",0.0213569878211626,0.0371873,0.0161571,1.67046,0.213141,12032,468475,FALSE,0.0482774669588755,64
"H7_RETINASEPAR","Separation of retinal layers (serosa)","VII Diseases of the eye and adnexa (H7_)",0.0216525973568183,0.103827,0.0452128,1.66449,0.213144,1477,455449,FALSE,0.0482774669588755,65
"E4_SPHINGOLIP","Disorders of sphingolipid metabolism and other lipid storage disorders","IV Endocrine, nutritional and metabolic diseases (E4_)",0.0218897095982319,0.359907,0.157009,1.65976,0.21342,123,420066,FALSE,0.0482774669588755,66
"E4_PCOS_CONCORTIUM","Polycystic ovarian syndrome, consortium definition","IV Endocrine, nutritional and metabolic diseases (E4_)",0.0222290037955302,0.0209825,0.00917694,1.65308,0.213839,42630,239434,FALSE,0.0482774669588755,67
"K11_FUNCDYSP","Functional dyspepsia","XI Diseases of the digestive system (K11_)",0.0232841291757748,0.036245,0.0159759,1.63294,0.213153,12179,423785,FALSE,0.0482774669588755,68
"NASH","Nonalcoholic steatohepatitis","Gastrointestinal endpoints",0.023846793995807,-0.245346,0.10858,1.62257,0.213207,254,500094,FALSE,0.0482774669588755,69
"J10_LOWERINF","Other acute lower respiratory infections","X Diseases of the respiratory system (J10_)",0.0241468230736001,0.0238537,0.0105792,1.61714,0.213207,28542,471806,FALSE,0.0482774669588755,70
"L12_FOREIGNBODYGRANULOMA","Foreign body granuloma of skin and subcutaneous tissue","XII Diseases of the skin and subcutaneous tissue (L12_)",0.0252958920940251,-0.356882,0.159546,1.59695,0.213175,117,465673,FALSE,0.0482774669588755,71
"I9_NONISCHCARDMYOP","Non-ischemic cardiomyopathy","IX Diseases of the circulatory system (I9_)",0.0253512863049791,0.0346289,0.0154869,1.596,0.213536,13917,402343,FALSE,0.0482774669588755,72
"Q17_CONGEN_LENS_MALFO","Congenital lens malformations","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",0.0255140851150007,-0.295654,0.132371,1.59322,0.213221,171,497731,FALSE,0.0482774669588755,73
"I9_CEREBAMY","Cerebral amyloid angiopathy","IX Diseases of the circulatory system (I9_)",0.0257063253587208,-0.353032,0.158266,1.58996,0.213241,119,453828,FALSE,0.0482774669588755,74
"M13_LIMBPAIN","Pain in limb","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0258702127346461,0.0193872,0.00870102,1.5872,0.213076,45476,357549,FALSE,0.0482774669588755,75
"M13_SCOLIOSIS","Scoliosis","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0267694840033117,0.0638345,0.028821,1.57236,0.212951,3654,353224,FALSE,0.0482774669588755,76
"M13_INFTENOSYNOVITIS","Other infective (teno)synovitis","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0269165875653934,0.324878,0.146823,1.56998,0.212691,140,357549,FALSE,0.0482774669588755,77
"F5_KELAMENT","Kela-code for severe mental illness","V Mental and behavioural disorders (F5_)",0.0270034963972141,-0.0359751,0.0162675,1.56858,0.213248,18538,479456,FALSE,0.0482774669588755,78
"AB1_ATYPICAL_CNS_VIRUS","Atypical virus infections of central nervous system","I Certain infectious and parasitic diseases (AB1_)",0.0270439422582969,0.209277,0.0946574,1.56793,0.213149,334,497501,FALSE,0.0482774669588755,79
"Z21_ASYMP_HUMAN_IMMUNODEFICIENCY_VIRUS_HIV_INFECTION_STATUS","Asymptomatic human immunodeficiency virus [HIV] infection status","XXI Factors influencing health status and contact with health services (Z21_)",0.0273086354512082,-0.27827,0.126081,1.5637,0.213188,188,481058,FALSE,0.0482774669588755,80
"K11_RESORPTION","Pathological resorption of teeth","XI Diseases of the digestive system (K11_)",0.0273463897991228,-0.114092,0.0517065,1.5631,0.212946,1122,310260,FALSE,0.0482774669588755,81
"G6_CAUDA","Cauda equina syndrome","VI Diseases of the nervous system (G6_)",0.0277753794042609,-0.183808,0.0835322,1.55634,0.213212,431,495687,FALSE,0.0482774669588755,82
"Q17_CONGEN_MALFO_DEFORMAT_MUSCULOS_SYSTEM","Congenital malformations and deformations of the musculoskeletal system","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",0.0278233872265421,0.0635505,0.0288896,1.55559,0.213207,3646,496702,FALSE,0.0482774669588755,83
"L12_PARAPSO_PITYLICHCHRON","Pityriasis lichenoides chronica","XII Diseases of the skin and subcutaneous tissue (L12_)",0.0279556760994171,0.327658,0.149077,1.55353,0.213181,134,482181,FALSE,0.0482774669588755,84
"H7_RETIVASCOCCLUSION","Retinal vascular occlusion","VII Diseases of the eye and adnexa (H7_)",0.0281870742826984,0.0569718,0.0259591,1.54995,0.213182,4560,455449,FALSE,0.0482774669588755,85
"K11_LIVDISINOTH","Liver disorders in diseases classified elsewhere","XI Diseases of the digestive system (K11_)",0.0284832800560122,0.376175,0.171725,1.54541,0.213164,100,485213,FALSE,0.0482774669588755,86
"H8_EXTDISNAS","Other specified disorders of external ear","VIII Diseases of the ear and mastoid process (H8_)",0.0293677043907954,-0.106652,0.0489565,1.53213,0.213182,1260,485292,FALSE,0.0482774669588755,87
"O15_LABOUR_OBSTR_OTHER","Other obstructed labour","XV Pregnancy, childbirth and the puerperium (O15_)",0.0296196552935843,0.06884,0.0316486,1.52842,0.213573,3047,214925,FALSE,0.0482774669588755,88
"D3_ANAEMIA_FOLATEDEF","Folate deficiency anaemia","III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)",0.0297467826350141,0.22397,0.103049,1.52656,0.213183,281,477015,FALSE,0.0482774669588755,89
"H7_CYSTIRIS","Cyst of iris, ciliary body and anterior chamber","VII Diseases of the eye and adnexa (H7_)",0.0300178788161804,0.395609,0.18232,1.52262,0.21315,56,473095,FALSE,0.0482774669588755,90
"M13_VALGUS","Valgus deformity, not elsewhere classified","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0317745932638235,0.225823,0.105169,1.49792,0.212396,273,315115,FALSE,0.0482774669588755,91
"CD2_BENIGN_SMALL_INTESTINE","Benign neoplasm: Small intestine","II Neoplasms from hospital discharges (CD2_)",0.0319609735714834,0.102293,0.0476912,1.49538,0.213207,1343,499005,FALSE,0.0482774669588755,92
"J10_SIMPLBRONCH","Simple and mucopurulent chronic bronchitis","X Diseases of the respiratory system (J10_)",0.0322775081904805,0.0904606,0.0422525,1.4911,0.21275,1702,409070,FALSE,0.0482774669588755,93
"Q17_REDUCT_DEFECTS_LOWER_LIMB","Reduction defects of lower limb","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",0.0324302278520387,0.394275,0.184321,1.48905,0.213136,88,496702,FALSE,0.0482774669588755,94
"CD2_BENIGN_CNS_NOS","Benign neoplasm: Central nervous system, other parts/unspecified","II Neoplasms from hospital discharges (CD2_)",0.0324429248079879,-0.331209,0.15485,1.48888,0.213207,124,500224,FALSE,0.0482774669588755,95
"H7_CORNEALSCAR","Corneal scars and opacities","VII Diseases of the eye and adnexa (H7_)",0.0325656686731057,0.123073,0.0575807,1.48724,0.213177,906,473095,FALSE,0.0482774669588755,96
"Q17_CONGEN_MALFO_MUSCULOS_SYSTEM_NOT_ELSEW_CLASSIFIED","Congenital malformations of the musculoskeletal system, not elsewhere classified","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",0.0335065721401618,0.16082,0.0756457,1.47487,0.213154,526,496702,FALSE,0.0482774669588755,97
"CD2_BENIGN_BRAIN_INFRATENT","Benign neoplasm: Brain, infratentorial","II Neoplasms from hospital discharges (CD2_)",0.0335297256562405,-0.258946,0.121818,1.47457,0.213207,201,500147,FALSE,0.0482774669588755,98
"CD2_BENIGN_THYMUS","Benign neoplasm: Thymus","II Neoplasms from hospital discharges (CD2_)",0.0338072620526125,0.430392,0.202789,1.47099,0.213207,71,500277,FALSE,0.0482774669588755,99
"AB1_MEASLES","Measles","I Certain infectious and parasitic diseases (AB1_)",0.0338906579288633,-0.178235,0.084019,1.46992,0.21322,425,480316,FALSE,0.0482774669588755,100
"CD2_BENIGN_ENDOCRINE_OTH","Benign neoplasm of other and unspecified endocrine glands","II Neoplasms from hospital discharges (CD2_)",0.0339187625802031,-0.0525711,0.0247855,1.46956,0.213207,4928,495420,FALSE,0.0482774669588755,101
"M13_KYPHOSIS","Kyphosis","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0339453272619218,-0.172213,0.0812048,1.46922,0.212795,457,353224,FALSE,0.0482774669588755,102
"DM_NEOVASCULAR_GLAUCOMA","Neovascular glaucoma","Diabetes endpoints",0.0341240052420953,-0.0951038,0.0448898,1.46694,0.213284,1494,485314,FALSE,0.0482774669588755,103
"H7_CORNEAPIGMENT","Corneal pigmentations and deposits","VII Diseases of the eye and adnexa (H7_)",0.0343439307678082,-0.31342,0.148119,1.46415,0.213123,137,473095,FALSE,0.0482774669588755,104
"JOINTPAIN","Pain in joint","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0346098725485353,0.0201024,0.00951416,1.4608,0.212915,39344,262404,FALSE,0.0482774669588755,105
"R18_RETEN_URINE","Retention of urine","XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R18_)",0.0350009635247915,0.0303983,0.0144181,1.45592,0.213229,15722,453777,FALSE,0.0482774669588755,106
"M13_INTERVERTEB","Other intervertebral disc disorders","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0350848803667643,0.0174904,0.00829961,1.45488,0.21326,51683,353224,FALSE,0.0482774669588755,107
"K11_INTESTOTH","Other diseases of intestines","XI Diseases of the digestive system (K11_)",0.0352103222650186,-0.0129997,0.00617288,1.45333,0.213207,105623,394725,FALSE,0.0482774669588755,108
"I9_PAROXTAC","Paroxysmal tachycardia","IX Diseases of the circulatory system (I9_)",0.0360769654088293,-0.0339515,0.0161978,1.44277,0.212972,12878,252810,FALSE,0.0482774669588755,109
"L12_STRIAEATROPHICAE","Striae atrophicae","XII Diseases of the skin and subcutaneous tissue (L12_)",0.0365485372285275,0.185909,0.088919,1.43713,0.213216,378,465673,FALSE,0.0482774669588755,110
"K11_FISTULA","Colonic or urogenital fistula","XI Diseases of the digestive system (K11_)",0.0365687402784007,-0.0334414,0.0159965,1.43689,0.213207,12025,488323,FALSE,0.0482774669588755,111
"M13_SPONDYLOTRAUM","Traumatic spondylopathy","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.036656415956155,0.393233,0.188188,1.43585,0.212849,84,353224,FALSE,0.0482774669588755,112
"M13_CHRONDROPATHIES","Chondropathies","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0375923954012917,0.0443783,0.0213432,1.4249,0.213184,6678,491365,FALSE,0.0482774669588755,113
"M13_ARTHROSIS_OTH","Other arthrosis","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0376591054827185,0.0225126,0.010831,1.42413,0.212701,29554,315115,FALSE,0.0482774669588755,114
"M13_TRANSSYNOVITIS","Transient synovitis","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0377050915833393,0.202447,0.0974218,1.4236,0.212701,318,357549,FALSE,0.0482774669588755,115
"Q17_MONOSOMI_DELET_AUTOSOMES_NOT_ELSEW_CLASSIFIED","Monosomies and deletions from the autosomes, not elsewhere classified","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",0.0380846527397191,0.392645,0.189323,1.41925,0.213201,85,499702,FALSE,0.0482774669588755,116
"C3_BILIARY_GALLBLADDER_EXALLC","Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)","II Neoplasms, from cancer register (ICD-O-3)",0.0386278023011496,0.0752485,0.0363848,1.4131,0.213443,2298,378749,FALSE,0.0482774669588755,117
"E4_VOLUME","Volume depletion","IV Endocrine, nutritional and metabolic diseases (E4_)",0.0387248728087473,-0.0592618,0.028669,1.41201,0.213313,3729,420066,FALSE,0.0482774669588755,118
"CHIRBIL_PRIM","Primary biliary cholangitis (PBC)","Gastrointestinal endpoints",0.0388803351584437,0.129912,0.0628977,1.41027,0.213135,760,372273,FALSE,0.0482774669588755,119
"Q17_CONGEN_MALFO_BILI","Congenital malformation of biliary tract","XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)",0.0389260198702671,-0.379837,0.183943,1.40976,0.213207,89,500259,FALSE,0.0482774669588755,120
"AB1_GONOCOCCAL","Gonococcal infection","I Certain infectious and parasitic diseases (AB1_)",0.0389520213877474,-0.104782,0.0507495,1.40947,0.213157,1163,485458,FALSE,0.0482774669588755,121
"ASTHMA_INFECTIONS","Asthma-related infections","Asthma and related endpoints",0.0390094655237805,0.0210458,0.0101962,1.40883,0.213052,31090,441248,FALSE,0.0482774669588755,122
"F5_SLEEPWALKING","Sleepwalking [somnambulism]","V Mental and behavioural disorders (F5_)",0.0392699185049452,-0.364844,0.176993,1.40594,0.213207,94,500254,FALSE,0.0482774669588755,123
"L12_HYPERTROPHICNAS","Other and unspecified hypertrophic disorders of skin","XII Diseases of the skin and subcutaneous tissue (L12_)",0.039717325854379,-0.242701,0.118007,1.40102,0.213172,214,465673,FALSE,0.0482774669588755,124
"M13_CERVICOBRACHSDR","Cervicobrachial syndrome","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0402448209919573,0.0356788,0.0173939,1.39529,0.213002,10325,353224,FALSE,0.0482774669588755,125
"G6_RLS","Restless leg syndrome","VI Diseases of the nervous system (G6_)",0.0405695322036045,-0.0525511,0.025661,1.3918,0.213207,4599,495749,FALSE,0.0482774669588755,126
"N14_HYPERTROPHYBREAST_BOTH","Hypertrophy of breast in women and men","XIV Diseases of the genitourinary system (N14_)",0.0406218782331298,0.0390861,0.0190909,1.39124,0.213115,8461,475603,FALSE,0.0482774669588755,127
"M13_ARTHROSIS","Arthrosis","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.0408131391596972,0.0138633,0.00677773,1.3892,0.212957,101454,315115,FALSE,0.0482774669588755,128
"K11_LIP_ORAL_MUCOSA","Other diseases of lip and oral mucosa","XI Diseases of the digestive system (K11_)",0.0411775022886073,0.0432397,0.0211779,1.38534,0.213182,6831,310260,FALSE,0.0482774669588755,129
"F5_DISSOCIATIVE","Dissociative [conversion] disorders","V Mental and behavioural disorders (F5_)",0.0416840588148059,0.0917497,0.0450491,1.38003,0.213293,1525,444414,FALSE,0.0482774669588755,130
"BMI_IRN","Body-mass index, inverse-rank normalized","Quantitative endpoints",0.0419189118007582,-0.00543401,0.00267115,1.37759,0.213264,362327,0,FALSE,0.0482774669588755,131
"D3_VONVILLEBRAND","Von Willebrand disease","III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)",0.0420833205355916,0.16409,0.0807252,1.37589,0.213152,473,492275,FALSE,0.0482774669588755,132
