location_name,ASPR_2021,cases_2021,rank
Papua New Guinea,83.09089298606,2611.2315530086144,1
China,76.89054004683,1511247.9244923254,2
Somalia,74.13996330406,3987.230462164018,3
Nepal,72.99301450845999,14038.757960881112,4
South Africa,67.67351620152,28563.289703727456,5
Lesotho,65.84572136445,615.1269650656428,6
India,65.20816858171,629642.8008634907,7
Democratic People's Republic of Korea,65.04399054731,19064.542993338808,8
Limited Health System,56.08486297284001,893630.7105550874,9
Basic Health System,55.61570543285,1886620.2359092708,10
Canada,55.37404764156,43426.76046862789,11
Rwanda,55.21326406327,3060.1733249919403,12
Southern Africa,54.88618515665,45954.40034897662,13
Bhutan,54.2146844109,292.90443514860823,14
Namibia,52.7332817874,647.7374489710493,15
Burundi,52.510845154280005,2276.1871255586943,16
Niger,51.98912609974,3999.5539279779855,17
Australia,51.33313428708,25311.861007070493,18
Denmark,50.61494207585999,6558.818645973327,19
Botswana,49.23362615619,637.4225305976693,20
Netherlands,48.934408798,18547.8924275844,21
Ethiopia,48.890539913720005,20529.4335183323,22
Myanmar,48.62528546855,18955.60265999884,23
Mali,47.46217684698,3932.9204019505264,24
Zimbabwe,46.93709463008,2813.99670988408,25
Kenya,46.569483249440005,9338.2864679998,26
Central African Republic,45.79355339008,783.5035367696671,27
Chad,44.68340078406,2478.010115083485,28
Malawi,43.18381550794,2888.718418835143,29
South Sudan,43.09157765623,1467.3821667266589,30
Eswatini,42.95950701786,207.03731639385504,31
Mozambique,42.7153446989,4234.325830227271,32
Uganda,42.5383215617,5794.784380597555,33
Burkina Faso,41.98418163064,3684.5666868420567,34
United Republic of Tanzania,41.80629121918,9864.881924388555,35
Greenland,41.79891030164,23.885464921791662,36
Minimal Health System,41.71810921034,47223.03260498306,37
Eastern Africa,41.43301228532,61358.99534406681,38
Guinea,41.3601678816,2246.534379546687,39
North America,41.19679832554,290796.8963896046,40
Thailand,41.10828179795,43993.18323699262,41
Democratic Republic of the Congo,40.8379156356,12570.569758551646,42
France,40.60186404634,65170.412011452194,43
Bangladesh,40.36247439621,49634.79533249423,44
Kiribati,39.86667883137,17.970680918753406,45
Madagascar,39.71286637948,3824.2378971513135,46
Central Africa,39.70948450853,23090.178988540483,47
Pakistan,39.60409267129,34268.65359081664,48
United States of America,39.44362300308,247349.6390768365,49
Eritrea,39.28680485568,907.3432580368998,50
Tonga,39.28630511544,29.6576094992905,51
Sweden,38.565172646810005,9464.930739138988,52
Palau,38.30427734408,5.689427070360611,53
Sri Lanka,38.24729531522,9240.205848505031,54
Sierra Leone,38.13543366436,1390.5388908557832,55
Colombia,37.95182721799,21447.490453698472,56
Comoros,37.87063712834,168.02415764380825,57
Maldives,37.58414284924,101.6153430237938,58
Norway,37.4813650446,4069.942408995272,59
Zambia,37.07799441268,2297.8096207783938,60
Northern Mariana Islands,36.30246775796,12.75817478199567,61
